iso,year,quarter,date,qGDP_growth,qGDP_growth_res,date_fe,dNL_res,dhits_res
"BLR",2017,4,2017q4,4.448494,.5782177,3.870277,-40.70373,1.423722
"BLR",2018,1,2018q1,5.081232,1.110861,3.970371,17.23203,2.30905
"BLR",2018,3,2018q3,3.753949,.2071251,3.546824,-35.8885,3.633888
"BLR",2018,4,2018q4,2.057439,-.9946095,3.052048,-1.727032,7.460999
"BLR",2019,1,2019q1,1.374415,-1.500813,2.875228,3.513798,16.59765
"BLR",2019,3,2019q3,1.601989,-1.713575,3.315564,49.96454,5.513229
"BLR",2019,4,2019q4,2.127284,-.740043,2.867327,-.3394252,2.352308
"BLR",2020,1,2020q1,-.2031704,-1.082322,.8791518,-62.72353,-.6822664
"BLR",2020,3,2020q3,-.2004702,3.789432,-3.989902,-23.15018,74.6339
"BLR",2020,4,2020q4,-.244817,1.618144,-1.862961,1.319118,11.94885
"BLR",2021,1,2021q1,1.141365,.0489072,1.092458,77.0362,-.3527458
"BRA",2014,1,2014q1,3.41032,-.2824979,3.692818,6.13607,-3.092761
"BRA",2014,2,2014q2,-.43644,-4.104041,3.667601,4.694133,32.11628
"BRA",2014,3,2014q3,-.6406633,-4.4956,3.854937,-15.74708,27.19026
"BRA",2014,4,2014q4,-.2281633,-4.055022,3.826859,6.414162,-8.226629
"BRA",2015,1,2015q1,-1.631504,-4.999915,3.368411,-6.119409,-8.418697
"BRA",2015,2,2015q2,-2.777548,-5.765145,2.987597,14.0259,-52.85716
"BRA",2015,3,2015q3,-4.356715,-7.681405,3.32469,3.628444,-42.79362
"BRA",2015,4,2015q4,-5.680105,-8.35181,2.671705,-3.496553,-3.964202
"BRA",2016,1,2016q1,-5.2791,-8.651004,3.371903,3.687646,-6.058213
"BRA",2016,2,2016q2,-3.275042,-6.698856,3.423814,-15.27316,-6.750603
"BRA",2016,3,2016q3,-2.484285,-5.691278,3.206994,3.938417,11.45386
"BRA",2016,4,2016q4,-2.279849,-6.243451,3.963602,-5.180697,3.201141
"BRA",2017,1,2017q1,.2946416,-3.493033,3.787675,-7.852858,15.519
"BRA",2017,2,2017q2,.7954082,-2.847768,3.643177,-9.320325,17.5682
"BRA",2017,3,2017q3,1.626334,-2.427885,4.054218,-13.30943,-1.55964
"BRA",2017,4,2017q4,2.520651,-1.349626,3.870277,-3.812422,4.491387
"BRA",2018,1,2018q1,1.831094,-2.139277,3.970371,-3.365703,1.361179
"BRA",2018,2,2018q2,1.555863,-2.194507,3.750371,22.7439,16.26023
"BRA",2018,3,2018q3,2.039394,-1.50743,3.546824,1.519748,9.437649
"BRA",2018,4,2018q4,1.642133,-1.409916,3.052048,.8426833,-.6750324
"BRA",2019,1,2019q1,1.178999,-1.696229,2.875228,10.27503,-21.34364
"BRA",2019,2,2019q2,1.471101,-1.85881,3.329911,-31.50606,-20.53649
"BRA",2019,3,2019q3,1.322092,-1.993473,3.315564,-5.184583,-10.93411
"BRA",2019,4,2019q4,1.628772,-1.238555,2.867327,-4.113508,-4.615692
"BRA",2020,1,2020q1,-.2729875,-1.152139,.8791518,-2.032818,23.15294
"BRA",2020,2,2020q2,-11.54076,-.7864816,-10.75428,13.46672,20.22743
"BRA",2020,3,2020q3,-3.975507,.0143952,-3.989902,8.041032,-5.018654
"BRA",2020,4,2020q4,-1.147373,.715588,-1.862961,3.735209,5.668767
